,TARGET
28732,0
149960,0
122353,0
73889,0
164465,0
148915,0
193284,0
151962,0
128077,0
16682,0
118960,1
48506,1
97011,0
125493,1
6683,0
96685,1
56410,0
12905,0
74988,0
22247,0
187650,0
22703,0
10026,0
131326,0
167601,0
8793,0
138142,0
78337,0
22052,0
68540,0
97391,1
141684,0
222,0
44485,0
75759,0
92282,0
16524,0
56669,0
110024,0
34871,0
165934,0
89516,0
14665,0
76488,0
156714,0
187344,0
80968,0
98868,0
130682,0
160529,0
9341,0
121358,0
79140,0
75208,0
155660,0
103234,0
118841,1
28043,0
101218,0
50635,0
148025,0
39573,1
35386,0
149462,0
108420,0
74574,0
105310,0
15588,0
165464,0
20288,0
139159,0
134656,0
92371,0
120790,0
63113,0
110788,0
25020,1
176048,0
122167,0
60321,0
58856,0
174327,0
138013,0
107425,0
19950,0
145778,0
117783,0
13454,0
160510,0
112961,0
107929,0
51699,0
74871,0
172988,0
145901,0
23872,0
4021,0
87930,1
125335,0
110491,0
149197,0
86821,0
144007,0
173666,0
168102,0
32715,0
72030,0
113829,0
1290,0
67870,0
123784,0
157221,0
184401,1
122529,1
112457,0
131841,0
98097,1
38078,0
58858,0
149336,0
136254,1
90201,0
144148,0
134194,0
12046,0
79033,0
38485,0
14745,1
36509,0
171440,0
142224,0
148006,0
168647,0
87936,0
7563,0
132303,0
121749,0
58408,0
188673,0
114010,0
185833,0
101504,0
119627,0
22314,0
86653,1
91878,1
153145,0
138835,0
95289,0
30358,0
140739,0
89080,1
155100,0
173487,0
71332,0
9763,0
186234,0
8090,0
32888,0
85169,0
85318,0
69552,0
1302,0
32866,0
178621,0
152087,0
2967,0
75752,0
143966,0
86641,0
67138,0
65403,0
120502,0
135187,0
125710,0
23895,0
161358,0
137081,0
65947,0
3622,0
153507,0
190481,0
104668,0
120964,0
152194,0
68847,0
138117,0
37695,0
142908,0
126997,0
3953,0
181541,0
80041,0
63077,0
37790,0
68244,0
146257,0
119550,0
118857,0
65017,0
194036,0
160787,0
101396,0
169221,0
142156,0
19451,0
76133,0
190005,0
11881,0
43672,1
60147,0
102763,0
111178,0
108352,0
154661,0
88866,0
63660,0
44024,1
62047,0
166594,0
15768,0
65516,0
24374,0
40582,0
82128,0
6690,0
36963,1
50036,0
72648,0
100204,0
138353,0
32602,0
168492,1
110013,0
181905,0
108018,1
60970,0
169320,0
10693,0
92315,0
169939,0
50699,0
30263,0
88860,0
36948,0
146420,0
3727,0
172569,0
19310,0
103270,0
701,0
49104,0
80173,0
42161,0
87504,1
4366,0
76746,0
96204,0
112948,0
189180,0
144378,0
114687,0
4613,0
57199,0
31541,0
49641,0
174027,0
54445,0
171414,0
16506,0
122675,0
93091,0
140755,0
41398,0
148241,0
93018,0
186998,0
145333,0
185490,0
129456,0
41444,0
102586,0
192280,0
40470,0
30650,0
19290,0
96717,0
65187,0
73139,0
111887,0
1797,1
123540,0
176640,0
185037,0
21479,0
158470,0
181802,0
60036,0
58974,0
156210,0
101369,0
38623,0
110731,0
178466,0
116386,0
23332,1
188556,0
79525,0
82656,0
11333,0
52419,0
142108,0
33846,1
167583,0
110279,0
118893,0
84178,0
25907,0
3702,0
82408,1
173891,0
174289,0
154066,0
101669,0
155285,0
49429,0
159982,0
88697,0
104940,0
12680,0
116125,0
187568,0
104984,0
79899,0
137016,0
9757,0
121136,0
14253,0
45245,0
106011,0
115655,0
135195,0
27093,0
130282,0
7140,0
29244,0
189252,0
37141,1
88087,0
141700,0
8842,0
88292,0
69572,0
89134,0
162317,0
26558,0
77069,0
154795,0
45318,0
105618,0
187377,0
151332,0
127523,0
26994,0
106045,0
59250,0
26146,0
156021,0
70193,0
42684,0
116022,0
153321,0
97665,0
26773,1
96405,0
105418,0
114066,0
122674,0
107311,0
94643,0
10287,0
165936,0
8475,0
126991,0
92580,0
138358,0
2001,0
109299,0
108988,1
52985,0
1341,0
153156,0
121718,0
91640,0
127651,0
1771,0
66511,0
66376,0
133986,0
156666,0
141878,0
141702,0
178838,0
15058,0
142014,0
22671,0
91735,0
43216,0
175128,0
74169,0
183328,0
150222,0
75548,1
110707,0
19197,0
183107,0
101184,0
104162,0
87608,0
58514,0
117818,0
55872,0
14123,0
191362,0
69832,0
38874,0
8163,0
51346,0
178640,0
47043,0
116017,0
70754,0
129537,0
167043,0
109162,0
168493,1
28556,0
68392,0
116178,0
104479,0
108238,0
96879,0
100853,0
62253,0
102163,0
9543,0
29721,0
179789,0
112304,0
166906,0
27033,0
17923,0
133568,0
69860,0
128630,0
124262,0
28562,0
50501,0
163247,0
191828,0
1284,0
91604,0
91768,0
126299,0
168262,0
129913,0
184175,0
23404,0
183163,0
51553,1
161501,0
47505,0
19142,0
171291,0
120405,0
106413,1
8308,0
50139,0
60305,0
47572,0
125562,0
131835,0
70575,0
98484,0
13146,0
140142,0
130065,0
34619,0
186542,0
37887,0
69846,0
76706,0
132041,0
17509,0
4017,0
135054,0
38750,0
152330,0
33616,1
9408,0
96724,1
9211,0
136421,0
135108,0
65305,0
104264,0
194311,0
111900,0
178318,0
151274,0
93801,1
86162,0
109312,0
100471,0
126621,0
176822,0
159496,0
169521,0
49314,0
176280,0
76071,0
159267,0
135375,0
185570,0
127500,0
85234,0
128192,1
93372,0
11591,0
5732,0
78025,0
131344,0
170325,0
87952,0
91605,0
22891,0
191899,0
61425,1
59182,0
111074,0
65760,0
168517,0
4581,0
41101,0
23691,0
15071,0
38214,1
64843,0
107040,0
31611,0
110780,0
16591,0
138756,0
48726,0
19279,1
93075,0
134288,0
103530,0
157314,0
65062,1
106774,0
15898,0
45099,0
50705,0
92566,0
2535,0
110720,0
190593,0
49333,0
90820,0
84361,1
47248,0
129794,0
114683,0
88278,0
27002,1
114676,0
125638,0
3998,0
22419,0
66005,0
107659,0
17456,0
96314,0
177229,0
145599,1
93996,0
71565,0
74380,0
140073,0
167788,0
103351,0
190263,0
55829,1
144502,1
129472,0
57210,0
169680,1
129174,0
127328,0
58213,0
129605,0
153823,0
22913,0
107024,1
183315,1
13288,0
90233,0
7306,0
126966,0
70022,0
95739,0
27272,0
90102,0
47288,0
137543,0
139041,0
69105,0
142550,0
16578,0
124337,0
169549,0
189473,0
101336,0
162056,0
171755,0
177902,0
80324,0
35183,0
139375,0
140779,0
172386,0
20776,0
37945,0
53859,0
113420,0
172063,0
37074,0
13734,1
144945,0
74123,0
127613,0
127330,0
26138,0
9878,0
147875,0
71909,0
80081,0
28709,0
55734,0
28193,0
145197,0
78219,0
74488,0
70765,0
136452,0
133940,0
145164,0
22655,0
165547,0
126018,0
44938,0
189432,0
73171,0
147135,0
99759,1
180627,0
168031,0
32932,0
35474,0
142694,0
53877,0
60548,0
71923,1
53885,1
181189,0
180757,0
150618,0
147498,0
170397,0
85854,0
16868,0
2839,0
137186,0
22520,0
134671,0
51273,0
151922,0
69567,0
174920,0
151281,0
176787,0
182997,0
153489,0
8979,0
52954,0
21310,0
70056,0
37661,0
16428,0
102896,0
104129,0
63905,1
89934,1
102871,0
156561,0
151614,0
96784,0
130458,1
159484,0
64383,0
97753,0
74137,0
161748,1
40144,1
145250,0
163464,0
176418,0
7090,0
159166,0
189072,0
187685,1
187192,0
82640,0
58056,0
138837,0
142026,0
2297,0
43494,0
108746,0
76556,0
2631,1
45169,0
60502,0
4346,0
18687,0
100393,0
162866,0
186854,1
3964,0
39824,1
28007,0
22584,0
93523,0
78059,0
157515,0
102637,0
178893,0
91343,1
58869,0
22720,0
159274,0
92707,0
126296,0
28456,0
9524,0
190277,0
56589,0
171278,1
113408,0
194149,0
105870,0
145824,0
2135,0
1329,0
142814,1
106711,0
32601,0
133251,0
182234,0
155462,0
137958,0
45101,0
5123,0
65207,0
53874,0
151715,1
105675,0
129788,0
73826,0
12631,0
9007,0
1909,0
75478,0
103369,0
137028,0
50552,0
108657,0
189516,0
111346,0
20823,0
59491,0
167203,0
188770,0
171871,0
32662,0
70672,0
2056,0
174000,0
37651,0
6957,0
77632,0
155283,0
193528,1
114300,0
30516,0
148342,0
120496,0
58412,0
94062,0
64702,0
94482,0
35510,0
67172,0
187764,0
18016,0
193947,0
194074,0
142519,0
82247,1
81369,0
177096,0
107239,1
82538,0
66690,0
42398,0
175634,0
162770,0
147927,0
74917,0
99031,0
36157,0
36980,0
73991,0
44175,0
27588,0
172085,0
148964,0
118750,0
66500,0
183629,0
181604,0
73940,0
124342,0
76147,0
32158,0
68404,1
21409,0
167183,0
191405,0
161823,0
83007,0
122116,1
162107,0
17507,0
39082,0
129499,0
185787,1
22524,0
122634,0
56900,0
131057,0
180686,0
140521,0
187484,0
175215,0
15980,0
27410,0
85124,1
30241,0
51100,0
106418,0
77768,0
165808,0
20676,0
23340,0
139691,0
46136,0
127743,0
169687,0
7718,0
186040,0
86448,0
192228,0
6931,0
36893,0
45598,1
135183,0
174993,0
142364,0
173489,0
103961,0
53185,1
4904,0
152255,0
61109,0
41581,0
188810,0
57635,0
72706,0
42421,0
6001,0
187558,0
120744,0
177235,0
166531,0
143630,0
113769,0
6382,0
46976,1
121319,0
111098,0
115196,0
128112,0
175374,0
193843,0
36478,0
8267,0
60795,0
188936,0
1182,0
137378,0
56238,0
150249,0
116437,0
37842,0
23776,0
136201,0
29776,0
24585,0
106975,0
57986,0
80717,0
150082,0
128219,0
57191,0
18915,0
3479,0
99163,0
163625,0
180637,0
128414,0
164065,0
122735,1
33690,0
193797,0
88733,0
104094,0
184509,0
79787,0
50884,0
95160,0
55800,0
42077,0
17255,0
163695,0
45771,0
165376,0
55265,0
125147,0
38635,0
67259,0
143047,0
162994,0
36555,0
78586,0
123021,0
97864,0
27137,0
98846,0
185131,0
7814,0
35150,0
44436,0
77836,0
168906,0
114503,0
16247,0
12901,0
86321,0
25742,0
89764,0
67682,0
50159,0
45100,0
124749,0
129781,0
15179,0
185690,0
166262,0
73245,0
150505,1
9714,0
182795,1
100030,0
17214,0
180581,0
125880,0
34930,0
116380,0
167356,0
48810,0
59181,0
112675,0
58585,0
172137,0
86816,0
146285,0
28167,0
103320,0
2123,0
70469,0
25216,0
185289,0
183775,0
131139,0
40572,0
105159,0
22505,0
48325,1
186162,0
137140,0
168442,0
106214,0
104809,0
4084,0
123535,0
92486,0
83921,0
177069,0
96650,0
152544,0
72869,0
83725,0
189294,0
131132,0
70408,0
148290,0
88135,0
152211,0
142331,0
172003,0
59277,0
63485,0
152708,0
193260,0
158976,0
151835,0
54146,0
33804,1
18895,0
90335,0
155961,1
174015,0
153374,0
77216,0
135913,0
140720,0
172788,0
16465,1
63030,1
157226,0
7673,0
67970,0
165998,0
40051,0
16000,0
60033,0
47711,0
53883,0
68943,0
113341,0
168657,0
149554,0
120803,1
80274,0
91194,0
78520,0
109840,0
174257,0
74167,0
105405,0
120626,0
107072,0
164450,0
166340,0
174975,0
134197,0
35368,0
191396,0
183563,0
15143,1
30406,0
69565,0
24289,0
12640,0
60245,0
150868,0
94463,0
167939,1
102931,0
133359,0
169894,0
147611,0
127521,0
12734,0
45255,0
132841,0
134226,0
132271,0
9657,0
94893,0
4533,1
3880,0
167631,0
101470,0
146067,0
137933,0
106776,0
99862,0
75212,0
71661,0
50980,0
73037,0
20454,0
158709,0
161479,0
85447,0
62289,0
182528,0
19675,0
53088,0
122445,0
89956,0
65604,0
182948,1
137220,0
775,0
176252,0
6215,0
